TimeStamp, X, Y, Z
8/13/2020 23:54,0.039,0.04,1.007
8/13/2020 23:54,0.041,0.043,1.013
8/13/2020 23:54,0.038,0.038,1.012
8/13/2020 23:54,0.038,0.038,1.006
8/13/2020 23:54,0.038,0.041,1.013
8/13/2020 23:54,0.041,0.042,1.011
8/13/2020 23:54,0.038,0.041,1.012
8/13/2020 23:54,0.038,0.038,1.014
8/13/2020 23:54,0.037,0.041,1.014
8/13/2020 23:54,0.036,0.037,1.012
8/13/2020 23:54,0.033,0.037,1.014
8/13/2020 23:54,0.035,0.042,1.015
8/13/2020 23:55,0.036,0.042,1.019
8/13/2020 23:55,0.044,0.038,1.012
8/13/2020 23:55,0.043,0.039,1.011
8/13/2020 23:55,0.036,0.04,1.012
8/13/2020 23:55,0.04,0.041,1.015
8/13/2020 23:55,0.037,0.041,1.011
8/13/2020 23:55,0.037,0.041,1.017
8/13/2020 23:55,0.039,0.041,1.009
8/13/2020 23:55,0.043,0.044,1.011
8/13/2020 23:55,0.032,0.04,1.013
8/13/2020 23:55,0.039,0.044,1.02
8/13/2020 23:55,0.038,0.042,1.014
8/13/2020 23:55,0.038,0.039,1.01
8/13/2020 23:55,0.039,0.042,1.011
8/13/2020 23:55,0.037,0.045,1.013
8/13/2020 23:55,0.039,0.044,1.015
8/13/2020 23:55,0.037,0.04,1.014
8/13/2020 23:55,0.037,0.039,1.015
8/13/2020 23:55,0.041,0.038,1.012
8/13/2020 23:55,0.039,0.039,1.011
8/13/2020 23:55,0.038,0.042,1.017
8/13/2020 23:55,0.029,0.041,1.011
8/13/2020 23:55,0.042,0.04,1.015
8/13/2020 23:55,0.04,0.038,1.017
8/13/2020 23:55,0.038,0.044,1.011
8/13/2020 23:55,0.042,0.038,1.011
8/13/2020 23:55,0.044,0.042,1.014
8/13/2020 23:55,0.036,0.037,1.01
8/13/2020 23:55,0.034,0.043,1.012
8/13/2020 23:55,0.038,0.037,1.007
8/13/2020 23:55,0.033,0.04,1.009
8/13/2020 23:55,0.04,0.043,1.011
8/13/2020 23:55,0.036,0.045,1.014
8/13/2020 23:55,0.038,0.041,1.014
8/13/2020 23:55,0.039,0.037,1.015
8/13/2020 23:55,0.038,0.043,1.009
8/13/2020 23:55,0.039,0.038,1.016
8/13/2020 23:55,0.038,0.043,1.014
8/13/2020 23:55,0.033,0.043,1.012
8/13/2020 23:55,0.037,0.035,1.018
8/13/2020 23:55,0.034,0.039,1.011
8/13/2020 23:55,0.036,0.034,1.018
8/13/2020 23:55,0.034,0.044,1.01
8/13/2020 23:55,0.039,0.039,1.01
8/13/2020 23:55,0.035,0.044,1.011
8/13/2020 23:55,0.038,0.04,1.009
8/13/2020 23:55,0.041,0.042,1.014
8/13/2020 23:55,0.041,0.043,1.014
8/13/2020 23:55,0.041,0.038,1.013
8/13/2020 23:55,0.037,0.043,1.013
8/13/2020 23:55,0.041,0.043,1.017
8/13/2020 23:55,0.038,0.04,1.011
8/13/2020 23:55,0.041,0.041,1.012
8/13/2020 23:55,0.041,0.038,1.013
8/13/2020 23:55,0.041,0.041,1.016
8/13/2020 23:55,0.035,0.037,1.012
8/13/2020 23:55,0.042,0.043,1.02
8/13/2020 23:55,0.041,0.038,1.008
8/13/2020 23:55,0.038,0.042,1.014
8/13/2020 23:55,0.035,0.038,1.018
8/13/2020 23:55,0.037,0.04,1.009
8/13/2020 23:55,0.038,0.039,1.011
8/13/2020 23:55,0.036,0.043,1.015
8/13/2020 23:55,0.038,0.04,1.011
8/13/2020 23:55,0.037,0.039,1.015
8/13/2020 23:55,0.036,0.042,1.011
8/13/2020 23:55,0.039,0.041,1.015
8/13/2020 23:55,0.045,0.044,1.014
8/13/2020 23:55,0.038,0.038,1.011
8/13/2020 23:55,0.04,0.038,1.012
8/13/2020 23:55,0.038,0.042,1.01
8/13/2020 23:55,0.042,0.044,1.008
8/13/2020 23:55,0.041,0.037,1.009
8/13/2020 23:55,0.04,0.039,1.007
8/13/2020 23:55,0.037,0.044,1.016
8/13/2020 23:55,0.038,0.039,1.012
8/13/2020 23:55,0.038,0.04,1.012
8/13/2020 23:55,0.04,0.037,1.013
8/13/2020 23:55,0.041,0.046,1.012
8/13/2020 23:55,0.038,0.038,1.012
8/13/2020 23:55,0.039,0.04,1.012
8/13/2020 23:55,0.035,0.041,1.018
8/13/2020 23:55,0.041,0.041,1.014
8/13/2020 23:55,0.038,0.042,1.01
8/13/2020 23:55,0.043,0.04,1.014
8/13/2020 23:55,0.037,0.037,1.009
8/13/2020 23:55,0.037,0.036,1.016
8/13/2020 23:55,0.039,0.043,1.014
8/13/2020 23:55,0.039,0.044,1.013
8/13/2020 23:55,0.037,0.042,1.019
8/13/2020 23:55,0.037,0.04,1.01
8/13/2020 23:55,0.041,0.043,1.011
8/13/2020 23:55,0.034,0.038,1.009
8/13/2020 23:55,0.037,0.041,1.009
8/13/2020 23:55,0.043,0.043,1.012
8/13/2020 23:55,0.037,0.043,1.012
8/13/2020 23:55,0.045,0.042,1.012
8/13/2020 23:55,0.034,0.04,1.015
8/13/2020 23:55,0.039,0.044,1.01
8/13/2020 23:55,0.038,0.036,1.01
8/13/2020 23:55,0.044,0.041,1.015
8/13/2020 23:55,0.034,0.043,1.014
8/13/2020 23:55,0.035,0.039,1.015
8/13/2020 23:55,0.038,0.035,1.011
8/13/2020 23:55,0.038,0.039,1.01
8/13/2020 23:55,0.039,0.045,1.015
8/13/2020 23:55,0.04,0.046,1.012
8/13/2020 23:55,0.037,0.043,1.012
8/13/2020 23:55,0.039,0.044,1.014
8/13/2020 23:55,0.038,0.04,1.01
8/13/2020 23:55,0.042,0.04,1.014
8/13/2020 23:55,0.034,0.041,1.014
8/13/2020 23:55,0.035,0.036,1.009
8/13/2020 23:55,0.036,0.036,1.014
8/13/2020 23:55,0.036,0.042,1.011
8/13/2020 23:55,0.037,0.041,1.015
8/13/2020 23:55,0.037,0.042,1.01
8/13/2020 23:55,0.039,0.041,1.009
8/13/2020 23:55,0.038,0.039,1.015
8/13/2020 23:55,0.04,0.04,1.008
8/13/2020 23:55,0.039,0.041,1.014
8/13/2020 23:55,0.043,0.041,1.018
8/13/2020 23:55,0.036,0.04,1.012
8/13/2020 23:55,0.038,0.038,1.009
8/13/2020 23:55,0.043,0.045,1.017
8/13/2020 23:55,0.037,0.04,1.012
8/13/2020 23:55,0.039,0.04,1.01
8/13/2020 23:55,0.039,0.037,1.01
8/13/2020 23:55,0.04,0.038,1.011
8/13/2020 23:55,0.036,0.042,1.009
8/13/2020 23:55,0.037,0.042,1.017
8/13/2020 23:55,0.039,0.04,1.008
8/13/2020 23:55,0.041,0.039,1.009
8/13/2020 23:55,0.037,0.043,1.014
8/13/2020 23:55,0.036,0.042,1.014
8/13/2020 23:55,0.037,0.042,1.012
8/13/2020 23:55,0.036,0.043,1.014
8/13/2020 23:55,0.038,0.037,1.012
8/13/2020 23:55,0.038,0.044,1.01
8/13/2020 23:55,0.04,0.04,1.015
8/13/2020 23:55,0.041,0.038,1.014
8/13/2020 23:55,0.039,0.035,1.014
8/13/2020 23:55,0.038,0.045,1.012
8/13/2020 23:55,0.042,0.042,1.002
8/13/2020 23:55,0.038,0.044,1.015
8/13/2020 23:55,0.036,0.042,1.012
8/13/2020 23:55,0.038,0.041,1.012
8/13/2020 23:55,0.038,0.045,1.005
8/13/2020 23:55,0.042,0.039,1.012
8/13/2020 23:55,0.039,0.039,1.017
8/13/2020 23:55,0.036,0.041,1.02
8/13/2020 23:55,0.039,0.039,1.011
8/13/2020 23:55,0.036,0.044,1.011
8/13/2020 23:55,0.039,0.041,1.015
8/13/2020 23:55,0.038,0.037,1.015
8/13/2020 23:55,0.043,0.041,1.019
8/13/2020 23:55,0.041,0.041,1.011
8/13/2020 23:55,0.037,0.043,1.008
8/13/2020 23:55,0.043,0.04,1.013
8/13/2020 23:55,0.036,0.043,1.01
8/13/2020 23:55,0.034,0.041,1.012
8/13/2020 23:55,0.037,0.038,1.014
8/13/2020 23:55,0.038,0.035,1.008
8/13/2020 23:55,0.037,0.042,1.01
8/13/2020 23:55,0.038,0.04,1.012
8/13/2020 23:55,0.035,0.042,1.012
8/13/2020 23:55,0.038,0.038,1.014
8/13/2020 23:56,0.033,0.039,1.015
8/13/2020 23:56,0.038,0.039,1.008
8/13/2020 23:56,0.034,0.043,1.022
8/13/2020 23:56,0.043,0.037,1.014
8/13/2020 23:56,0.035,0.042,1.018
8/13/2020 23:56,0.038,0.039,1.017
8/13/2020 23:56,0.041,0.037,1.009
8/13/2020 23:56,0.037,0.041,1.007
8/13/2020 23:56,0.034,0.038,1.017
8/13/2020 23:56,0.033,0.042,1.012
8/13/2020 23:56,0.037,0.041,1.014
8/13/2020 23:56,0.036,0.042,1.019
8/13/2020 23:56,0.036,0.041,1.016
8/13/2020 23:56,0.034,0.042,1.013
8/13/2020 23:56,0.038,0.039,1.012
8/13/2020 23:56,0.038,0.037,1.011
8/13/2020 23:56,0.039,0.039,1.018
8/13/2020 23:56,0.039,0.041,1.017
8/13/2020 23:56,0.04,0.039,1.007
8/13/2020 23:56,0.04,0.037,1.012
8/13/2020 23:56,0.037,0.045,1.013
8/13/2020 23:56,0.041,0.04,1.012
8/13/2020 23:56,0.041,0.047,1.015
8/13/2020 23:56,0.042,0.042,1.013
8/13/2020 23:56,0.036,0.044,1.011
8/13/2020 23:56,0.04,0.041,1.008
8/13/2020 23:56,0.043,0.035,1.018
8/13/2020 23:56,0.04,0.037,1.012
8/13/2020 23:56,0.035,0.036,1.011
8/13/2020 23:56,0.037,0.039,1.013
8/13/2020 23:56,0.041,0.035,1.014
8/13/2020 23:56,0.042,0.046,1.016
8/13/2020 23:56,0.04,0.038,1.011
8/13/2020 23:56,0.037,0.041,1.014
8/13/2020 23:56,0.034,0.04,1.009
8/13/2020 23:56,0.037,0.04,1.013
8/13/2020 23:56,0.039,0.042,1.014
8/13/2020 23:56,0.04,0.036,1.008
8/13/2020 23:56,0.034,0.036,1.008
8/13/2020 23:56,0.034,0.043,1.016
8/13/2020 23:56,0.039,0.036,1.008
8/13/2020 23:56,0.039,0.044,1.006
8/13/2020 23:56,0.042,0.038,1.014
8/13/2020 23:56,0.036,0.037,1.017
8/13/2020 23:56,0.035,0.039,1.012
8/13/2020 23:56,0.039,0.042,1.008
8/13/2020 23:56,0.038,0.04,1.014
8/13/2020 23:56,0.036,0.04,1.014
8/13/2020 23:56,0.041,0.039,1.01
8/13/2020 23:56,0.041,0.042,1.014
8/13/2020 23:56,0.038,0.035,1.02
8/13/2020 23:56,0.04,0.039,1.008
8/13/2020 23:56,0.038,0.041,1.008
8/13/2020 23:56,0.041,0.043,1.01
8/13/2020 23:56,0.036,0.042,1.012
8/13/2020 23:56,0.042,0.038,1.011
8/13/2020 23:56,0.039,0.041,1.014
8/13/2020 23:56,0.039,0.042,1.013
8/13/2020 23:56,0.043,0.037,1.016
8/13/2020 23:56,0.034,0.039,1.011
8/13/2020 23:56,0.043,0.04,1.015
8/13/2020 23:56,0.039,0.04,1.013
8/13/2020 23:56,0.037,0.037,1.016
8/13/2020 23:56,0.032,0.037,1.017
8/13/2020 23:56,0.04,0.04,1.014
8/13/2020 23:56,0.038,0.042,1.008
8/13/2020 23:56,0.036,0.044,1.009
8/13/2020 23:56,0.043,0.043,1.015
8/13/2020 23:56,0.036,0.038,1.006
8/13/2020 23:56,0.042,0.041,1.012
8/13/2020 23:56,0.036,0.043,1.016
8/13/2020 23:56,0.04,0.04,1.013
8/13/2020 23:56,0.035,0.041,1.015
8/13/2020 23:56,0.042,0.037,1.013
8/13/2020 23:56,0.037,0.041,1.019
8/13/2020 23:56,0.037,0.041,1.013
8/13/2020 23:56,0.035,0.043,1.011
8/13/2020 23:56,0.038,0.042,1.01
8/13/2020 23:56,0.041,0.046,1.012
8/13/2020 23:56,0.037,0.04,1.016
8/13/2020 23:56,0.037,0.044,1.015
8/13/2020 23:56,0.042,0.044,1.018
8/13/2020 23:56,0.041,0.043,1.016
8/13/2020 23:56,0.039,0.04,1.012
8/13/2020 23:56,0.04,0.039,1.016
8/13/2020 23:56,0.037,0.037,1.009
8/13/2020 23:56,0.037,0.043,1.011
8/13/2020 23:56,0.039,0.037,1.013
8/13/2020 23:56,0.035,0.04,1.014
8/13/2020 23:56,0.038,0.04,1.018
8/13/2020 23:56,0.038,0.043,1.012
8/13/2020 23:56,0.039,0.044,1.01
8/13/2020 23:56,0.039,0.042,1.008
8/13/2020 23:56,0.036,0.04,1.014
8/13/2020 23:56,0.041,0.039,1.016
8/13/2020 23:56,0.04,0.042,1.015
8/13/2020 23:56,0.035,0.036,1.011
8/13/2020 23:56,0.033,0.043,1.006
8/13/2020 23:56,0.036,0.044,1.016
8/13/2020 23:56,0.039,0.04,1.013
8/13/2020 23:56,0.036,0.041,1.009
8/13/2020 23:56,0.042,0.041,1.011
8/13/2020 23:56,0.04,0.042,1.013
8/13/2020 23:56,0.038,0.038,1.009
8/13/2020 23:56,0.041,0.042,1.007
8/13/2020 23:56,0.035,0.041,1.007
8/13/2020 23:56,0.037,0.034,1.013
8/13/2020 23:56,0.038,0.039,1.012
8/13/2020 23:56,0.04,0.039,1.019
8/13/2020 23:56,0.039,0.041,1.017
8/13/2020 23:56,0.037,0.04,1.013
